설립,지역,초중구분,학교명,주소,교무실
공립,강서구,초등학교,서울가곡초등학교,"서울특별시 강서구 공항대로36길 74 (마곡동, 가곡초등학교)",02-2661-5995
공립,강서구,초등학교,서울가양초등학교,"서울 강서구 허준로 186 , (가양동,가양초등학교)",02-2668-2101
공립,양천구,초등학교,서울갈산초등학교,"서울특별시 양천구 목동로 31 , 서울갈산초등학교 (신정동)",02-2649-7232
공립,양천구,초등학교,서울강서초등학교,"서울특별시 양천구 오목로 31 (신월동, 서울강서초등학교)",02-2091-6600
공립,양천구,초등학교,서울강신초등학교,"서울특별시 양천구 월정로 280 , 서울강신초등학교 (신월동,서울강신초등학교)",02-2697-3035
공립,양천구,초등학교,서울강월초등학교,"서울특별시 양천구 신월로 97 (신월동,서울강월초등학교)",02-2605-0501
공립,강서구,초등학교,서울개화초등학교,"서울특별시 강서구 양천로 11 (방화동,개화초등학교)",02-2662-0492
공립,양천구,초등학교,서울경인초등학교,"서울특별시 양천구 안양천로 1009 (목동,서울경인초등학교)",02-2647-2568
공립,양천구,초등학교,서울계남초등학교,"서울특별시 양천구 목동동로2길 54 , 서울계남초등학교 (신정동,서울계남초등학교)",02-2645-8754
공립,강서구,초등학교,서울공진초등학교,"서울특별시 강서구 마곡서로 33 , 서울공진초등학교 (마곡동 749-2)",02-2223-2300
공립,강서구,초등학교,서울공항초등학교,서울특별시 강서구 마곡서1로 68  (마곡동),02-2664-1176
공립,양천구,초등학교,서울남명초등학교,"서울특별시 양천구 중앙로23길 3 (신정동,서울남명초등학교)",02-2607-5092
공립,강서구,초등학교,서울내발산초등학교,"서울특별시 강서구 강서로46길 23 (내발산동,내발산초등학교)",02-3662-7565
공립,강서구,초등학교,서울등마초등학교,"서울특별시 강서구 등촌로35길 12 (등촌동,서울등마초등학교)",02-2642-0232
공립,강서구,초등학교,서울등명초등학교,"서울특별시 강서구 강서로56나길 34 (등촌동,등명초등학교)",02-2658-3693
공립,강서구,초등학교,서울등서초등학교,"서울특별시 강서구 화곡로58길 86 (화곡동,등서초등학교)",02-2695-4555
공립,강서구,초등학교,서울등양초등학교,"서울특별시 강서구 강서로56나길 140 , 등양초등학교 (등촌동,등양초등학교)",02-2658-0072
공립,강서구,초등학교,서울등원초등학교,"서울특별시 강서구 화곡로65길 90 , 서울등원초등학교 (등촌동)",02-2658-2233
공립,강서구,초등학교,서울등촌초등학교,"서울특별시 강서구 등촌로39길 71 (등촌동,등촌초등학교)",02-2653-9374
공립,강서구,초등학교,서울등현초등학교,"서울특별시 강서구 화곡로65길 124 (등촌동,등현초등학교)",02-2658-7851
